ID,Name,Code,Legal form,Status,Registration Date,Capital,Address,Area of Activity,EMTAK Code,NACE Code,Partners,Partner_Participations,Partner_Contributions,Representatives,Representative_Roles,Representative_Start_Dates,Deletion Date
1189,SparkTimeOÃœ(12448065),12448065.0,Private limited company,Enteredintotheregister,03.04.2013,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Endla tn 4 10142,,,,,,,,,,
1190,SparkTrioOÃœ(10418829),10418829.0,Private limited company,,25.03.1998,Capitalis40Â 000Â EEK,Peterburi tee 38 Tallinn city Harju county,"Publishing of textbooks, dictionaries and other encyclopaedias",58112 (EMTAK 2008),58.11,\n                                        Vjat\xc5\xa1eslav Timofejev\n,100.00%,\n                                    2500.00 EUR,\n                                Vjat\xc5\xa1eslav Timofejev\n,\n                                Management board member\n,03.04.2013,
1191,SparkupOÃœ(16246588),16246588.0,Private limited company,Enteredintotheregister,07.06.2021,Capitalis2Â 500Â â‚¬,Tartu maakond Tartu vald Taabri kÃ¼la Kaasiku 60530,Forwarding agencies services,52291 (EMTAK 2008),52.29,,,,\n                                Genrich Lukkonen\n,\n                                Liquidator\n,31.01.2003,
1192,SparkWeldOÃœ(16566653),16566653.0,Private limited company,Enteredintotheregister,05.09.2022,Capitalis2Â 500Â â‚¬,Ida-Viru maakond Narva linn Linda tn 1-49 20309,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,\n                                        Helina Reisalu\n,100.00%,\n                                    2500.00 EUR,\n                                Helina Reisalu\n,\n                                Management board member\n,07.06.2021,
1193,OsaÃ¼hingSparkwell(11018977),11018977.0,Private limited company,Deleted,04.03.2004,,,Temporary employment agency activities,78201 (EMTAK 2008),78.2,\n                                        Vladislav Vorontsov\n,100.00%,\n                                    2500.00 EUR,\n                                Vladislav Vorontsov\n,\n                                Management board member\n,05.09.2022,14.12.2016
1194,SparkyOÃœ(16311015),16311015.0,Private limited company,Enteredintotheregister,09.09.2021,Capitalis2Â 500Â â‚¬,Harju maakond Kose vald NÃµrava kÃ¼la Uus-Olli 75116,,,,,,,,,,
1195,OÃœSPARKY(11005688),11005688.0,Private limited company,Deleted,25.02.2004,,,Other construction installation,4329 (EMTAK 2008),43.29,\n                                        Tauri Tarbe\n,100.00%,\n                                    2500.00 EUR,\n                                Tauri Tarbe\n,\n                                Management board member\n,09.09.2021,22.10.2009
1196,SparkySpotOÃœ(14865560),14865560.0,Private limited company,Enteredintotheregister,10.12.2019,Capitalis2Â 500Â â‚¬,,,,,,,,,,,
1197,OÃœSparoberg(10957207),10957207.0,Private limited company,Enteredintotheregister,08.07.2003,Capitalis40Â 000Â EEK,Harju maakond Tallinn Kesklinna linnaosa Lootsi tn 3a-150 10151,Computer programming activities,62011 (EMTAK 2008),62.01,\n                                        Dmytro Dubovetskyi\n,100.00%,\n                                    2500.00 EUR,\n                                Dmytro Dubovetskyi\n,\n                                Management board member\n,10.12.2019,
1198,SparofOÃœ(12087012),12087012.0,Private limited company,Deleted,06.04.2011,,,Non-specialised wholesale trade,46901 (EMTAK 2008),46.9,"\n, \n","50.00%, 50.00%","\n                                    20000.00 EEK, \n                                    20000.00 EEK",\n                                Arvo Heinmaa\n,\n                                Management board member\n,06.08.2003,07.01.2020
1199,OÃœSparohansa(10956797),10956797.0,Private limited company,Enteredintotheregister,03.07.2003,Capitalis5Â 112Â â‚¬,Ida-Viru maakond SillamÃ¤e linn Mere pst 4 40231,,,,,,,,,,
1200,OsaÃ¼hingSparolink(10957087),10957087.0,Private limited company,Enteredintotheregister,07.07.2003,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Kristiine linnaosa Meleka tn 6-10 10615,Manufacture of prepared meals and dishes,10851 (EMTAK 2008),10.85,"\n                                        Daniil Ano\xc5\xa1t\xc5\xa1enkov\n, \n                                        Svetlana Ano\xc5\xa1t\xc5\xa1enkova\n, \n                                        Veniamin Ano\xc5\xa1t\xc5\xa1enkov\n","100.00%, 100.00%, 100.00%","\n                                    5112.00 EUR, \n                                    5112.00 EUR, \n                                    5112.00 EUR",\n                                Svetlana Ano\xc5\xa1t\xc5\xa1enkova\n,\n                                Management board member\n,17.04.2019,
1201,osaÃ¼hingSPARossia(11168688),11168688.0,Private limited company,Enteredintotheregister,29.09.2005,Capitalis3Â 810Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Lootsi tn 3a-42 10151,Repair of furniture and home furnishings,95241 (EMTAK 2008),95.24,"\n                                        Oksana Toom\n, \n                                        Rain Kindlam\n","50.00%, 50.00%","\n                                    1278.00 EUR, \n                                    1278.00 EUR",\n                                Rain Kindlam\n,\n                                Management board member\n,29.05.2008,
1202,SparotecOÃœ(12197054),12197054.0,Private limited company,Enteredintotheregister,24.11.2011,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa Turu plats 5-57 11611,Hotels,55101 (EMTAK 2008),55.1,"\n                                        Pavel Perevalov\n, \n                                        Andres Tiik\n, \n                                        Antti Aru\n, \n                                        Kalle Kuusik\n","30.00%, 23.33%, 23.33%, 23.33%","\n                                    1143.00 EUR, \n                                    889.00 EUR, \n                                    889.00 EUR, \n                                    889.00 EUR",\n                                Kalle Kuusik\n,\n                                Management board member\n,29.09.2005,
1203,SparqOÃœ(14721602),14721602.0,Private limited company,Enteredintotheregister,10.05.2019,Capitalis3Â 112Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa VesivÃ¤rava tn 50-201 10152,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,"\n                                        Vesa Matti Knuuttila\n, \n                                        Pirjo Hillevi Seesvaara-Hannola\n, \n                                        Tuija Sinikka Seesvaara-Lahtinen\n, \n                                        Pentti Kalervo Seesvaara\n, \n                                        Esa Antero Hannola\n","40.00%, 25.00%, 20.00%, 10.00%, 5.00%","\n                                    1000.00 EUR, \n                                    625.00 EUR, \n                                    500.00 EUR, \n                                    250.00 EUR, \n                                    125.00 EUR",\n                                Vesa Matti Knuuttila\n,\n                                Management board member\n,09.01.2012,
1204,SparrekArtOÃœ(12639109),12639109.0,Private limited company,Enteredintotheregister,03.04.2014,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn PÃµhja-Tallinna linnaosa SÃµle tn 74-14 10314,Computer programming activities,62011 (EMTAK 2008),62.01,"\n                                        Danila Belokons\n, \n                                        Baltic International bank\n","80.33%, 19.67%","\n                                    2500.00 EUR, \n                                    612.00 EUR",\n                                Danila Belokons\n,\n                                Management board member\n,10.05.2019,
1205,osaÃ¼hingSparren(10931314),10931314.0,Private limited company,Deleted,07.07.2003,,,Artistic creation,90031 (EMTAK 2008),90.03,\n                                        K\xc3\xbclli Sparre\n,100.00%,\n                                    2500.00 EUR,\n                                K\xc3\xbclli Sparre\n,\n                                Management board member\n,03.04.2014,11.05.2017
1206,SparringOÃœ(12308619),12308619.0,Private limited company,Enteredintotheregister,02.07.2012,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kristiine linnaosa Energia tn 6a 13415,,,,,,,,,,
1207,OsaÃ¼hingSPARROW(10371051),10371051.0,Private limited company,Deleted,10.02.1998,,,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,\n                                        Andri Laidre\n,100.00%,\n                                    2500.00 EUR,\n                                Andri Laidre\n,\n                                Management board member\n,02.07.2012,13.05.2022
1208,SparrowSolutionsOÃœ(12973096),12973096.0,Private limited company,Enteredintotheregister,06.01.2016,Capitalis2Â 500Â â‚¬,Ida-Viru maakond LÃ¼ganuse vald KiviÃµli linn Heina tn 6 43125,,,,,,,,,,
1209,sparse.techOÃœ(14150884),14150884.0,Private limited company,Enteredintotheregister,14.11.2016,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Sepapaja tn 6 15551,Public relations and communication activities,70211 (EMTAK 2008),70.21,\n                                        K\xc3\xa4rolin Varblane\n,100.00%,\n                                    2500.00 EUR,\n                                K\xc3\xa4rolin Varblane\n,\n                                Management board member\n,06.01.2016,
1210,SparshInvestmentsOÃœ(14533289),14533289.0,Private limited company,Enteredintotheregister,26.07.2018,Capitalis8Â 000Â â‚¬,,Computer programming activities,62011 (EMTAK 2008),62.01,\n                                        Tim Simon Nieradzik\n,100.00%,\n                                    2500.00 EUR,\n                                Tim Simon Nieradzik\n,\n                                Management board member\n,14.11.2016,
1211,OsaÃ¼hingSpars(10260736),10260736.0,Private limited company,Enteredintotheregister,10.09.1997,Capitalis2Â 550Â â‚¬,Harju maakond Keila linn Aiandi tn 11 76609,"Trusts, funds and similar financial entities",64301 (EMTAK 2008),64.3,"\n                                        Dinesh Kuwar\n, \n                                        Pankaj RAYBHAN Pandekar\n, \n                                        PRAVIN BALASAHEB PATIL\n, \n                                        PUNAM HITESH WANKAR\n","44.00%, 40.25%, 10.50%, 5.25%","\n                                    3520.00 EUR, \n                                    3220.00 EUR, \n                                    840.00 EUR, \n                                    420.00 EUR",\n                                Dinesh Kuwar\n,\n                                Management board member\n,26.07.2018,
1212,SpartaAkrobaatikaklubi(80292011),80292011.0,Non-profit association,Enteredintotheregister,02.09.2009,,Harju maakond Tallinn LasnamÃ¤e linnaosa Peterburi tee 2 11415,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,"\n                                        Feodor Lilleberg\n, \n                                        Alo Lilleberg\n","70.00%, 30.00%","\n                                    1785.00 EUR, \n                                    765.00 EUR",\n                                Alo Lilleberg\n,\n                                Management board member\n,10.09.1997,
1213,SpartaCapitalOÃœ(12974256),12974256.0,Private limited company,Enteredintotheregister,07.01.2016,Capitalis5Â 000Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Tartu mnt 83 10115,Activities of sports clubs for the disabled,93122 (EMTAK 2008),93.12,,,,\n                                Mart Kajari\n,\n                                Management board member\n,30.01.2019,
1214,SpartaCarOÃœ(10803875),10803875.0,Private limited company,Deleted,23.11.2001,,,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,\n                                        Juris Gri\xc5\xa1ins\n,100.00%,\n                                    5000.00 EUR,\n                                Juris Gri\xc5\xa1ins\n,\n                                Management board member\n,07.01.2016,19.06.2012
1215,SPARTACUSOÃœ(11017201),11017201.0,Private limited company,Deleted,25.02.2004,,,,,,,,,,,,14.10.2009
1216,MittetulundusÃ¼hingSpartakiaad(80314184),80314184.0,Non-profit association,,01.09.2010,,Harju maakond Tallinn Kristiine linnaosa NÃµmme tee 48-16 13425,,,,,,,,,,
1217,OÃœSpartak(12475033),12475033.0,Private limited company,Deleted,17.05.2013,,,Other sports activities,9319 (EMTAK 2008),93.19,,,,\n                                Kristel J\xc3\xa4\xc3\xa4ts\n,\n                                Liquidator\n,23.10.2018,23.08.2017
1218,SpartaksOÃœ(12471822),12471822.0,Private limited company,,10.05.2013,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa Liipri tn 1 10917,,,,,,,,,,
1219,SpartalogEstoniaOÃœ(14222460),14222460.0,Private limited company,Enteredintotheregister,16.03.2017,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Haabersti linnaosa Oja tn 19 13516,"Office management, combined secretarial services",82111 (EMTAK 2008),82.11,\n,100.00%,\n                                    2500.00 EUR,\n                                Uno \xc3\x95ismaa\n,\n                                Liquidator\n,30.01.2017,
1220,SpartaLogisticsOÃœ(14218607),14218607.0,Private limited company,Enteredintotheregister,09.03.2017,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Punane tn 42 13619,Forwarding agencies services,52291 (EMTAK 2008),52.29,"\n                                        SIA Sparta Holding\n, \n                                        Siim Suve\n","70.00%, 30.00%","\n                                    1750.00 EUR, \n                                    750.00 EUR",\n                                M\xc4\x81rcis \xc5\xa0teins\n,\n                                Management board member\n,08.05.2017,
1221,SpartamanOÃœ(11327046),11327046.0,Private limited company,,29.11.2006,Capitalis3Â 198Â â‚¬,Harju maakond Tallinn PÃµhja-Tallinna linnaosa HÃ¤rjapea tn 17-1 10320,Forwarding agencies services,52291 (EMTAK 2008),52.29,"\n                                        Ragnar Valdstein\n, \n                                        Raido Nikonorov\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Ragnar Valdstein\n,\n                                Management board member\n,09.03.2017,
1222,SpartanGruppOÃœ(11133431),11133431.0,Private limited company,Deleted,26.07.2005,,,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,"\n                                        Anu Uusmaa\n, \n                                        Zigmontas Strepaitis\n","50.00%, 50.00%","\n                                    1599.00 EUR, \n                                    1599.00 EUR",\n                                Anu Uusmaa\n,\n                                Liquidator\n,01.05.2017,02.03.2010
1223,SpartanOÃœ(16602882),16602882.0,Private limited company,Enteredintotheregister,28.10.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Valge tn 13 11415,,,,,,,,,,
1224,SPARTAN.R.DOÃœ(14658625),14658625.0,Private limited company,Enteredintotheregister,11.02.2019,Capitalis2Â 500Â â‚¬,Ida-Viru maakond Narva linn Rahu tn 16b-38 20606,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,\n                                        Paolo De Santis\n,100.00%,\n                                    2500.00 EUR,\n                                Paolo De Santis\n,\n                                Management board member\n,28.10.2022,
1225,SpartaoEstoniaOÃœ(16058763),16058763.0,Private limited company,Enteredintotheregister,22.09.2020,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Ahtri tn 12 10151,Other engineering-technical activities,71129 (EMTAK 2008),71.12,\n                                        Rafa\xc5\x82 Wojciech Maciejko\n,100.00%,\n                                    2500.00 EUR,\n                                Rafa\xc5\x82 Wojciech Maciejko\n,\n                                Management board member\n,11.02.2019,
1226,OÃœSparta(12464041),12464041.0,Private limited company,Enteredintotheregister,26.04.2013,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa PÃ¤rnu mnt 139c 11314,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.1,\n                                        Spartao Oy\n,100.00%,\n                                    2500.00 EUR,\n                                Zepei Rao\n,\n                                Management board member\n,08.10.2020,
1227,OsaÃ¼hingSPARTAPLUS(10266638),10266638.0,Private limited company,Deleted,08.09.1997,,,Operation of sports facilities,93111 (EMTAK 2008),93.11,\n,100.00%,\n                                    2500.00 EUR,\n                                Mart Kajari\n,\n                                Management board member\n,26.04.2013,16.05.2003
1228,SPARTAPoksiklubi(80277313),80277313.0,Non-profit association,Deleted,12.11.2008,,,,,,,,,,,,18.09.2012
1229,SPARTASpordiselts(80272741),80272741.0,Non-profit association,Enteredintotheregister,26.08.2008,,Harju maakond Tallinn Kesklinna linnaosa PÃ¤rnu mnt 139c 11317,,,,,,,,,,
1230,MittetulundusÃ¼hingSpartaSport(80295564),80295564.0,Non-profit association,Deleted,18.09.2009,,,Activities of sports clubs,93121 (EMTAK 2008),93.12,,,,\n                                Mart Kajari\n,\n                                Management board member\n,26.08.2008,29.01.2016
1231,SpartaTecOÃœ(16583469),16583469.0,Private limited company,Enteredintotheregister,29.09.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa TornimÃ¤e tn 7-26 10145,,,,,,,,,,
1232,OsaÃ¼hingSPARTATURVATEENISTUS(10483175),10483175.0,Private limited company,Deleted,04.09.1998,,,Temporary employment agency activities,78201 (EMTAK 2008),78.2,\n                                        Marika Dukat\xc5\xa1\n,100.00%,\n                                    2500.00 EUR,\n                                Marika Dukat\xc5\xa1\n,\n                                Management board member\n,29.09.2022,07.10.2011
1233,OsaÃ¼hingSPARTAVEOD(10036594),10036594.0,Private limited company,Enteredintotheregister,29.05.1996,Capitalis25Â 600Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa Suur-MÃ¤nniku tn 8 11216,,,,,,,,,,
1234,SpartecEhitusOÃœ(11468605),11468605.0,Private limited company,Deleted,11.02.2008,,,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,\n                                        Jelena B\xc3\xb5t\xc5\xa1kovskaja\n,100.00%,\n                                    25600.00 EUR,\n                                Stanislav Alter\n,\n                                Management board member\n,30.11.2000,29.11.2022
1235,MTÃœSpartelRacing(80616442),80616442.0,Non-profit association,Enteredintotheregister,30.09.2022,,Harju maakond Tallinn NÃµmme linnaosa MÃ¤nniku tee 95-8 11213,,,,,,,,,,
1236,SpartenInternationalOÃœ(11121994),11121994.0,Private limited company,Deleted,07.04.2005,,,Activities of sports clubs,93121 (EMTAK 2008),93.12,,,,\n                                Siim P\xc3\xa4rtel\n,\n                                Management board member\n,30.09.2022,20.09.2011
1237,SpartenTradeOÃœ(11429806),11429806.0,Private limited company,Deleted,04.10.2007,,,,,,,,,,,,18.01.2012
1238,SpartexGroupOÃœ(12356417),12356417.0,Private limited company,Enteredintotheregister,04.10.2012,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Muhu tn 2-16 13912,,,,,,,,,,
1239,SpartosOÃœ(11352357),11352357.0,Private limited company,Deleted,12.02.2007,,,Manufacture of furniture n.e.c.,31091 (EMTAK 2008),31.09,\n                                        Kirill Blit\xc5\xa1tein\n,100.00%,\n                                    2500.00 EUR,\n                                Kirill Blit\xc5\xa1tein\n,\n                                Management board member\n,04.10.2012,16.09.2011
1240,SpartronixOÃœ(14955406),14955406.0,Private limited company,Enteredintotheregister,20.04.2020,Capitalis2Â 500Â â‚¬,,,,,,,,,,,
1241,OSAÃœHINGSPARTSMORE(10570922),10570922.0,Private limited company,Enteredintotheregister,26.07.1999,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Liikuri tn 46-37 13618,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,\n                                        Salvador Canas Moreno\n,100.00%,\n                                    2500.00 EUR,\n                                Salvador Canas Moreno\n,\n                                Management board member\n,20.04.2020,
1242,osaÃ¼hingSparus(10781872),10781872.0,Private limited company,Enteredintotheregister,22.06.2001,Capitalis40Â 000Â EEK,Harju maakond Tallinn PÃµhja-Tallinna linnaosa TÃ¶Ã¶stuse tn 3-11 10416,Wholesale of medical appliances and surgical and orthopaedic instruments and devices,46462 (EMTAK 2008),46.46,"\n                                        Anastassia Puntussova Neto\n, \n                                        Rui Pedro Cabral Neto\n","50.00%, 50.00%","\n                                    1278.00 EUR, \n                                    1278.00 EUR",\n                                Rui Pedro Cabral Neto\n,\n                                Management board member\n,08.06.2007,
1243,SparvOÃœ(12455792),12455792.0,Private limited company,Enteredintotheregister,16.04.2013,Capitalis2Â 500Â â‚¬,LÃ¤Ã¤ne maakond Vormsi vald Hullo kÃ¼la Irjase 91301,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,\n                                        Leho Lugna\n,100.00%,\n                                    40000.00 EEK,\n                                Leho Lugna\n,\n                                Management board member\n,22.06.2001,
1244,OÃœSPASanitaartehnika(10921899),10921899.0,Private limited company,Enteredintotheregister,23.01.2003,Capitalis5Â 000Â 000Â EEK,Harju maakond Tallinn Kesklinna linnaosa RÃ¤vala pst 19-112 10143,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,\n                                        Mikk Varblane\n,100.00%,\n                                    2500.00 EUR,\n                                Mikk Varblane\n,\n                                Management board member\n,16.04.2013,
1245,SpaSevenOÃœ(11358839),11358839.0,Private limited company,Enteredintotheregister,05.03.2007,Capitalis4Â 200Â â‚¬,Harju maakond Tallinn Kristiine linnaosa SÃµpruse pst 145 13425,Retail sale of sanitary and water supply equipment and supplies,47522 (EMTAK 2008),47.52,"\n, \n, \n","40.69%, 40.69%, 18.61%","\n                                    2034700.00 EEK, \n                                    2034700.00 EEK, \n                                    930600.00 EEK",\n                                Ingrid Saks\n,\n                                Management board member\n,31.01.2008,
1246,OsaÃ¼hingSpash(12981842),12981842.0,Private limited company,Enteredintotheregister,21.01.2016,Capitalis2Â 500Â â‚¬,Ida-Viru maakond LÃ¼ganuse vald KiviÃµli linn Keskpuiestee 55-16 43122,Fitness facilities,93131 (EMTAK 2008),93.13,\n                                        Lihtkonto: ISMAILS ABDULMUMINOVS\n,100.00%,\n                                    4200.00 EUR,\n                                Ismails Abdulmuminovs\n,\n                                Management board member\n,05.03.2007,
1247,SpasinvestEestiOÃœ(12611097),12611097.0,Private limited company,Enteredintotheregister,10.02.2014,Capitalis2Â 505Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa Suur-MÃ¤nniku tn 8 11216,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",46161 (EMTAK 2008),46.16,\n                                        ALLA VARIUKHINA\n,100.00%,\n                                    2500.00 EUR,\n                                Alla Variukhina\n,\n                                Management board member\n,22.10.2018,
1248,SPASoftwareOÃœ(16267863),16267863.0,Private limited company,Enteredintotheregister,12.07.2021,Capitalis2Â 500Â â‚¬,,Freight transport by road,49411 (EMTAK 2008),49.41,"\n                                        Sergiy Stanislavich\n, \n                                        Albert Romanov\n","66.67%, 33.33%","\n                                    1670.00 EUR, \n                                    835.00 EUR",\n                                Albert Romanov\n,\n                                Management board member\n,10.02.2014,
1249,SpasskyOÃœ(12820180),12820180.0,Private limited company,Enteredintotheregister,23.03.2015,Capitalis2Â 500Â â‚¬,Ida-Viru maakond Narva linn V. Gerassimovi tn 6-68 20105,Other software publishing,58291 (EMTAK 2008),58.29,"\n                                        Einichi Inoshita\n, \n                                        Shusaku Taniguchi\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Einichi Inoshita\n,\n                                Management board member\n,12.07.2021,
1250,SPASystemOÃœ(12150667),12150667.0,Private limited company,Enteredintotheregister,23.08.2011,Capitalis2Â 508Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa VÃ¤ike-Ameerika tn 19-201 10129,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.1,"\n                                        Artjom Spasski\n, \n                                        Ivan Spasski\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Artjom Spasski\n,\n                                Management board member\n,23.03.2015,
1251,SpazierOÃœ(16341499),16341499.0,Private limited company,Enteredintotheregister,14.10.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kristiine linnaosa A. H. Tammsaare tee 47 11316,"Wholesale of other general-purpose and special-purpose machinery, apparatus and equipment",46699 (EMTAK 2008),46.69,"\n                                        Genadijs Dunins\n, \n                                        Inga Ozerska\n","50.00%, 50.00%","\n                                    1254.00 EUR, \n                                    1254.00 EUR",\n                                Inga Ozerska\n,\n                                Management board member\n,26.04.2012,
1252,SpazioOÃœ(14803228),14803228.0,Private limited company,Enteredintotheregister,13.09.2019,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Peetri tn 7 10415,Other information service activities n.e.c.,63991 (EMTAK 2008),63.99,"\n                                        Semion Sobolevski\n, \n                                        Yauheni Pyrloh\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Semion Sobolevski\n,\n                                Management board member\n,14.10.2021,
1253,OÃœSPAZZOLA(16606762),16606762.0,Private limited company,Enteredintotheregister,03.11.2022,Capitalis2Â 500Â â‚¬,Viljandi maakond Viljandi linn Riia mnt 40-2 71009,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,"\n                                        Reio Vahe\n, \n                                        Merlin Salusaar\n, \n                                        Kristel Sarapuu\n","50.00%, 30.00%, 20.00%","\n                                    1250.00 EUR, \n                                    750.00 EUR, \n                                    500.00 EUR",\n                                Kristel Sarapuu\n,\n                                Management board member\n,13.09.2019,
1254,OsaÃ¼hingSpatekstiil(11331266),11331266.0,Private limited company,Deleted,15.12.2006,,,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,\n                                        Katharine Toomik\n,100.00%,\n                                    2500.00 EUR,\n                                Katharine Toomik\n,\n                                Management board member\n,03.11.2022,14.04.2008
1255,OsaÃ¼hingSpate(11392479),11392479.0,Private limited company,Enteredintotheregister,06.06.2007,Capitalis2Â 684Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Gonsiori tn 5a-3 10117,,,,,,,,,,
1256,MittetulundusÃ¼hingSpatialIntelligenceUnit(80353190),80353190.0,Non-profit association,Enteredintotheregister,12.02.2013,,Harju maakond Rae vald Patika kÃ¼la Keapa 75316,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,"\n                                        K\xc3\xbclli Didrichson\n, \n                                        Valeri Viira\n","50.00%, 50.00%","\n                                    1342.00 EUR, \n                                    1342.00 EUR",\n                                Valeri Viira\n,\n                                Management board member\n,02.07.2010,
1257,SpaTimeOÃœ(14420600),14420600.0,Private limited company,Enteredintotheregister,01.02.2018,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa VÃµidujooksu tn 7-31 13628,Research and experimental development on social sciences and humanities,72201 (EMTAK 2008),72.2,,,,\n                                Helen Pau\n,\n                                Management board member\n,12.02.2013,
1258,SpatioOÃœ(10393087),10393087.0,Private limited company,Enteredintotheregister,26.02.1998,Capitalis2Â 556Â â‚¬,Hiiu maakond Hiiumaa vald Sepaste kÃ¼la Sepaste 92001,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,"\n                                        Anna Kolawole\n, \n                                        Abidemi Moshood Kolawole\n","75.00%, 25.00%","\n                                    1875.00 EUR, \n                                    625.00 EUR",\n                                Abidemi Moshood Kolawole\n,\n                                Management board member\n,01.02.2018,
1259,SpatiumEestiOÃœ(12486479),12486479.0,Private limited company,Deleted,07.06.2013,,,Financial consulting,66191 (EMTAK 2008),66.19,\n                                        Marko Tuomas Tiirinen\n,100.00%,\n                                    2556.00 EUR,\n                                Marko Tuomas Tiirinen\n,\n                                Management board member\n,02.01.2006,24.08.2017
1260,osaÃ¼hingSpatium(10002129),10002129.0,Private limited company,Enteredintotheregister,10.11.1995,Capitalis2Â 556Â â‚¬,Tartu maakond Tartu linn Tartu linn Pikk tn 84-7 50606,,,,,,,,,,
1261,SPATIXEOÃœ(16372809),16372809.0,Private limited company,Deleted,23.11.2021,,,"Other professional, scientific and technical activities n.e.c.",7490 (EMTAK 2008),74.9,\n                                        Kadri Tali\n,100.00%,\n                                    2556.00 EUR,\n                                Tiina-Maria Tali\n,\n                                Management board member\n,09.09.2021,27.06.2022
1262,OsaÃ¼hingSPATLI(10735004),10735004.0,Private limited company,Deleted,11.05.2001,,,,,,,,,,,,27.10.2004
1263,OÃœSPATours(11693733),11693733.0,Private limited company,Enteredintotheregister,28.07.2009,Capitalis2Â 556Â â‚¬,Saare maakond Saaremaa vald Kuressaare linn Tallinna tn 15 93811,,,,,,,,,,
1264,SpaunaOÃœ(16048173),16048173.0,Private limited company,Enteredintotheregister,09.09.2020,Capitalis3Â 000Â â‚¬,Tartu maakond Tartu linn Tartu linn Riia tn 140 50411,Hotels,55101 (EMTAK 2008),55.1,\n,100.00%,\n                                    2556.00 EUR,\n                                Kalle Kuusik\n,\n                                Management board member\n,18.12.2009,
1265,SPAUTOMOÃœ(16243650),16243650.0,Private limited company,Enteredintotheregister,02.06.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kristiine linnaosa A. H. Tammsaare tee 47 11316,"Manufacture of prefabricated wooden buildings (e.g. saunas, summerhouses, houses) or elements thereof",16232 (EMTAK 2008),16.23,"\n                                        Marko Laeva\n, \n                                        Sandor Weinrauch\n, \n","33.33%, 33.33%, 33.33%","\n                                    1000.00 EUR, \n                                    1000.00 EUR, \n                                    1000.00 EUR",\n                                Marko Laeva\n,\n                                Management board member\n,09.09.2020,
